attempt_id,section_rows,valid_section_speed_rows,valid_section_time_rows,unique_section_names,section_names,covered_laps,n_covered_laps,full_lap_coverage_rows
0051ca1a-7c05-591e-9776-995fe0689445,36,36,36,9,BS to T3|FS to SF|SS1 to T2|SS2 to T4|T/SSF to T1|T1 to SS1|T2 to BS|T3 to SS2|T4 to FS,1|2|3|4,4,36
00d1c34a-f916-5fa9-803b-2cc6962f2595,36,36,36,9,BS to T3|FS to SF|SS1 to T2|SS2 to T4|T/SSF to T1|T1 to SS1|T2 to BS|T3 to SS2|T4 to FS,1|2|3|4,4,36
01896a4f-c482-5093-a806-89bc4273641d,36,36,36,9,BS to T3|FS to SF|SS1 to T2|SS2 to T4|T/SSF to T1|T1 to SS1|T2 to BS|T3 to SS2|T4 to FS,1|2|3|4,4,36
023498ed-8531-5851-92d7-648da1ee81d8,18,18,18,9,BS to T3|FS to SF|SS1 to T2|SS2 to T4|T/SSF to T1|T1 to SS1|T2 to BS|T3 to SS2|T4 to FS,1|2,2,9
04dd64f3-9175-537b-b611-47d98856e4b7,36,36,36,9,BS to T3|FS to SF|SS1 to T2|SS2 to T4|T/SSF to T1|T1 to SS1|T2 to BS|T3 to SS2|T4 to FS,1|2|3|4,4,36
0817e595-17c0-5e20-94bc-6778006bf613,36,36,36,9,BS to T3|FS to SF|SS1 to T2|SS2 to T4|T/SSF to T1|T1 to SS1|T2 to BS|T3 to SS2|T4 to FS,1|2|3|4,4,36
096ff05c-1785-53cf-be2f-65bbb6ce7cd1,36,36,36,9,BS to T3|FS to SF|SS1 to T2|SS2 to T4|T/SSF to T1|T1 to SS1|T2 to BS|T3 to SS2|T4 to FS,1|2|3|4,4,36
09935cc4-f542-569f-b50c-7460e0663860,36,36,36,9,BS to T3|FS to SF|SS1 to T2|SS2 to T4|T/SSF to T1|T1 to SS1|T2 to BS|T3 to SS2|T4 to FS,1|2|3|4,4,36
099ab32a-d351-5011-931c-148b9f3d7921,36,36,36,9,BS to T3|FS to SF|SS1 to T2|SS2 to T4|T/SSF to T1|T1 to SS1|T2 to BS|T3 to SS2|T4 to FS,1|2|3|4,4,36
09f4cf1e-3fb8-5bfc-808c-b733eb495b54,36,36,36,9,BS to T3|FS to SF|SS1 to T2|SS2 to T4|T/SSF to T1|T1 to SS1|T2 to BS|T3 to SS2|T4 to FS,1|2|3|4,4,36
09fab927-89b4-520d-aad1-456ac5f4f11a,36,36,36,9,BS to T3|FS to SF|SS1 to T2|SS2 to T4|T/SSF to T1|T1 to SS1|T2 to BS|T3 to SS2|T4 to FS,1|2|3|4,4,36
0ac03a4b-263a-56b8-bf3f-4996c2968118,36,36,36,9,BS to T3|FS to SF|SS1 to T2|SS2 to T4|T/SSF to T1|T1 to SS1|T2 to BS|T3 to SS2|T4 to FS,1|2|3|4,4,36
0e1c6c84-a0db-504e-9da0-b66aa65a338c,36,36,36,9,BS to T3|FS to SF|SS1 to T2|SS2 to T4|T/SSF to T1|T1 to SS1|T2 to BS|T3 to SS2|T4 to FS,1|2|3|4,4,36
100ef01c-38fa-59f4-a91f-a9a703ed7d2c,35,35,35,9,BS to T3|FS to SF|SS1 to T2|SS2 to T4|T/SSF to T1|T1 to SS1|T2 to BS|T3 to SS2|T4 to FS,1|2|3|4,4,27
111ee81b-a11a-5ab8-b5a4-9eadb4f12a70,36,36,36,9,BS to T3|FS to SF|SS1 to T2|SS2 to T4|T/SSF to T1|T1 to SS1|T2 to BS|T3 to SS2|T4 to FS,1|2|3|4,4,36
11a85bb9-a5f7-54be-afd7-706bdf4d7c8c,36,36,36,9,BS to T3|FS to SF|SS1 to T2|SS2 to T4|T/SSF to T1|T1 to SS1|T2 to BS|T3 to SS2|T4 to FS,1|2|3|4,4,36
11bd473d-0cf3-56e2-9aa9-fb4487870c59,36,36,36,9,BS to T3|FS to SF|SS1 to T2|SS2 to T4|T/SSF to T1|T1 to SS1|T2 to BS|T3 to SS2|T4 to FS,1|2|3|4,4,36
