core_row,year,car_number,driver_name,delta_speed_final_core_mph,residual_loyo_centered,linkage_status,before_attempt_id,after_attempt_id,anchor_delta_difference_mph,before_section_rows,before_valid_section_speed_rows,before_valid_section_time_rows,before_unique_section_names,before_section_names,before_covered_laps,before_n_covered_laps,before_full_lap_coverage_rows,after_section_rows,after_valid_section_speed_rows,after_valid_section_time_rows,after_unique_section_names,after_section_names,after_covered_laps,after_n_covered_laps,after_full_lap_coverage_rows,both_attempts_in_section_table,both_have_section_speed,both_cover_four_laps
0,2020,20,Ed Carpenter,0.4,-0.1074453865663387,matched_explicit_anchor,9a2e168d-3dda-5e76-8daf-588c20d91341,893c5471-df02-55c0-946f-0af9d0a835d9,5.662137425588298e-15,36.0,36.0,36.0,9.0,BS to T3|FS to SF|SS1 to T2|SS2 to T4|T/SSF to T1|T1 to SS1|T2 to BS|T3 to SS2|T4 to FS,1|2|3|4,4.0,36.0,36.0,36.0,36.0,9.0,BS to T3|FS to SF|SS1 to T2|SS2 to T4|T/SSF to T1|T1 to SS1|T2 to BS|T3 to SS2|T4 to FS,1|2|3|4,4.0,36.0,True,True,True
1,2020,3,Helio Castroneves,0.258,-0.0710123398286028,matched_explicit_anchor,f2f5d37e-6270-5e2d-8ae0-2e63cea098b3,7799cc62-18bb-568d-9de2-16cb3622a0de,1.8707257964933888e-14,36.0,36.0,36.0,9.0,BS to T3|FS to SF|SS1 to T2|SS2 to T4|T/SSF to T1|T1 to SS1|T2 to BS|T3 to SS2|T4 to FS,1|2|3|4,4.0,36.0,36.0,36.0,36.0,9.0,BS to T3|FS to SF|SS1 to T2|SS2 to T4|T/SSF to T1|T1 to SS1|T2 to BS|T3 to SS2|T4 to FS,1|2|3|4,4.0,36.0,True,True,True
2,2020,47,Conor Daly,0.071,-0.3726799398275063,matched_explicit_anchor,a7f0ef57-a971-5870-9606-1fe1cd378e2a,df3c02a3-9655-512c-a2e6-4ffe9eadc505,2.631228568361621e-14,36.0,36.0,36.0,9.0,BS to T3|FS to SF|SS1 to T2|SS2 to T4|T/SSF to T1|T1 to SS1|T2 to BS|T3 to SS2|T4 to FS,1|2|3|4,4.0,36.0,36.0,36.0,36.0,9.0,BS to T3|FS to SF|SS1 to T2|SS2 to T4|T/SSF to T1|T1 to SS1|T2 to BS|T3 to SS2|T4 to FS,1|2|3|4,4.0,36.0,True,True,True
3,2020,5,Pato O'Ward,0.311,-0.3474105928198861,matched_explicit_anchor,194c9baa-3297-571e-82bf-ac3ba81e07fc,757828a3-822d-5bd8-b9f0-681a6918b48b,6.994405055138486e-15,36.0,36.0,36.0,9.0,BS to T3|FS to SF|SS1 to T2|SS2 to T4|T/SSF to T1|T1 to SS1|T2 to BS|T3 to SS2|T4 to FS,1|2|3|4,4.0,36.0,36.0,36.0,36.0,9.0,BS to T3|FS to SF|SS1 to T2|SS2 to T4|T/SSF to T1|T1 to SS1|T2 to BS|T3 to SS2|T4 to FS,1|2|3|4,4.0,36.0,True,True,True
4,2020,59,Max Chilton,1.484,1.1702080190504822,matched_explicit_anchor,75519828-93ba-5485-a4bf-a06b93f7cec3,fb65c8cf-d1c6-583e-9563-6c22e29bb081,8.881784197001252e-15,36.0,36.0,36.0,9.0,BS to T3|FS to SF|SS1 to T2|SS2 to T4|T/SSF to T1|T1 to SS1|T2 to BS|T3 to SS2|T4 to FS,1|2|3|4,4.0,36.0,36.0,36.0,36.0,9.0,BS to T3|FS to SF|SS1 to T2|SS2 to T4|T/SSF to T1|T1 to SS1|T2 to BS|T3 to SS2|T4 to FS,1|2|3|4,4.0,36.0,True,True,True
5,2020,60,Jack Harvey,-0.104,-0.4768859238856346,matched_explicit_anchor,954d29f8-6770-5c41-9322-b23c885935ef,e7089fb7-0048-5bb8-8589-cc5bbc59a6cd,1.5001888620247428e-14,36.0,36.0,36.0,9.0,BS to T3|FS to SF|SS1 to T2|SS2 to T4|T/SSF to T1|T1 to SS1|T2 to BS|T3 to SS2|T4 to FS,1|2|3|4,4.0,36.0,36.0,36.0,36.0,9.0,BS to T3|FS to SF|SS1 to T2|SS2 to T4|T/SSF to T1|T1 to SS1|T2 to BS|T3 to SS2|T4 to FS,1|2|3|4,4.0,36.0,True,True,True
6,2020,8,Marcus Ericsson,0.094,-0.2598912928073732,matched_explicit_anchor,518373d9-25de-58cf-8315-f6c215b6f672,25ddda12-052a-5d71-ac52-6e96cf8edab9,5.995204332975845e-15,36.0,36.0,36.0,9.0,BS to T3|FS to SF|SS1 to T2|SS2 to T4|T/SSF to T1|T1 to SS1|T2 to BS|T3 to SS2|T4 to FS,1|2|3|4,4.0,36.0,36.0,36.0,36.0,9.0,BS to T3|FS to SF|SS1 to T2|SS2 to T4|T/SSF to T1|T1 to SS1|T2 to BS|T3 to SS2|T4 to FS,1|2|3|4,4.0,36.0,True,True,True
7,2020,81,Ben Hanley,1.971,1.57945494014952,matched_explicit_anchor,a3016f3b-449e-576c-bf0f-284c71eddb34,b58b5c13-1a21-50cf-ab5b-8962cc4486f0,3.552713678800501e-15,36.0,36.0,36.0,9.0,BS to T3|FS to SF|SS1 to T2|SS2 to T4|T/SSF to T1|T1 to SS1|T2 to BS|T3 to SS2|T4 to FS,1|2|3|4,4.0,36.0,36.0,36.0,36.0,9.0,BS to T3|FS to SF|SS1 to T2|SS2 to T4|T/SSF to T1|T1 to SS1|T2 to BS|T3 to SS2|T4 to FS,1|2|3|4,4.0,36.0,True,True,True
8,2020,88,Colton Herta,0.215,-0.1927643794706103,matched_explicit_anchor,9ed5a76f-1d6e-5759-8ffc-9c1344b26bfc,0817e595-17c0-5e20-94bc-6778006bf613,3.4139358007223564e-15,36.0,36.0,36.0,9.0,BS to T3|FS to SF|SS1 to T2|SS2 to T4|T/SSF to T1|T1 to SS1|T2 to BS|T3 to SS2|T4 to FS,1|2|3|4,4.0,36.0,36.0,36.0,36.0,9.0,BS to T3|FS to SF|SS1 to T2|SS2 to T4|T/SSF to T1|T1 to SS1|T2 to BS|T3 to SS2|T4 to FS,1|2|3|4,4.0,36.0,True,True,True
9,2020,9,Scott Dixon,-0.041,-0.5253020699355216,matched_explicit_anchor,25f997a4-1a33-565b-b2b0-1c30d3a0f19c,33a57398-b346-53e3-b5e5-369a3ca71efc,3.1988300897012323e-15,36.0,36.0,36.0,9.0,BS to T3|FS to SF|SS1 to T2|SS2 to T4|T/SSF to T1|T1 to SS1|T2 to BS|T3 to SS2|T4 to FS,1|2|3|4,4.0,36.0,36.0,36.0,36.0,9.0,BS to T3|FS to SF|SS1 to T2|SS2 to T4|T/SSF to T1|T1 to SS1|T2 to BS|T3 to SS2|T4 to FS,1|2|3|4,4.0,36.0,True,True,True
