year,car_number,driver_name,target_delta_speed_mph,candidate_attempt_count,before_attempt_id,after_attempt_id,before_attempt_index,after_attempt_index,before_speed_mph,after_speed_mph,candidate_delta_speed_mph,delta_difference_mph,before_covered_laps,after_covered_laps,before_valid_speed_rows,after_valid_speed_rows,both_in_section_table,both_four_lap_section_coverage,candidate_rank,status
2023,11,Takuma Sato,0.465,2,55b6b39a-d64a-5a38-9dbc-84a9faac294b,dd0ff96a-0d57-5ba5-8691-ebf2359edec4,1.0,2.0,232.857,233.322,0.4650000000000034,3.3861802251067274e-15,4,4,36,36,True,True,1,RECOVERABLE_STRONG
2023,27,Kyle Kirkwood,0.227,3,dda33fdd-49c8-5082-a03d-252bf1a6fa49,f9f206a7-b2ab-5eb9-8805-0d279c65164d,1.0,2.0,232.39,232.617,0.22700000000000387,3.858025010572419e-15,4,4,36,36,True,True,1,RECOVERABLE_STRONG
2023,27,Kyle Kirkwood,0.045,3,f9f206a7-b2ab-5eb9-8805-0d279c65164d,970e09d9-9783-53a2-ac70-f2117bee1d09,2.0,3.0,232.617,232.662,0.045000000000015916,1.5917822615563182e-14,4,4,36,36,True,True,1,RECOVERABLE_STRONG
2023,29,Devlin DeFrancesco,0.08,2,f10d3a91-6f0d-59f0-9ea9-4db5cf6e44b9,ab6f7ab5-b6ba-5e02-9560-f89bd35b575c,1.0,2.0,231.273,231.353,0.0800000000000125,1.2503886814840826e-14,4,4,36,36,True,True,1,RECOVERABLE_STRONG
2023,33,Ed Carpenter,-0.109,3,04dd64f3-9175-537b-b611-47d98856e4b7,2b14c17d-769c-504e-819b-55270bb93b13,1.0,2.0,232.62,232.511,-0.10900000000000887,8.867906409193438e-15,4,4,36,36,True,True,1,RECOVERABLE_STRONG
2023,33,Ed Carpenter,0.178,3,2b14c17d-769c-504e-819b-55270bb93b13,55035890-97e8-57a3-a2e1-4845f4b05eb9,2.0,3.0,232.511,232.689,0.17799999999999727,2.7200464103316335e-15,4,4,36,36,True,True,1,RECOVERABLE_STRONG
2023,66,Tony Kanaan,0.174,3,09f4cf1e-3fb8-5bfc-808c-b733eb495b54,fdb7fb74-bf21-54a6-8668-36c035e40628,1.0,2.0,232.446,232.62,0.1740000000000066,6.6058269965196814e-15,4,4,36,36,True,True,1,RECOVERABLE_STRONG
2023,66,Tony Kanaan,0.727,3,fdb7fb74-bf21-54a6-8668-36c035e40628,d1af19f4-254b-5058-b545-543906d4584e,2.0,3.0,232.62,233.347,0.7270000000000039,3.885780586188048e-15,4,4,36,36,True,True,1,RECOVERABLE_STRONG
2023,8,Marcus Ericsson,-0.314,3,67f2af5c-ca4c-55e7-8c2a-5361873b43cc,fce06089-154b-512e-a547-fd144ec0961c,1.0,2.0,232.735,232.421,-0.3140000000000214,2.1371793224034263e-14,4,4,36,36,True,True,1,RECOVERABLE_STRONG
2023,8,Marcus Ericsson,0.609,3,fce06089-154b-512e-a547-fd144ec0961c,79d389ee-b055-582a-8985-c09472aa4d69,2.0,3.0,232.421,233.03,0.6090000000000089,8.881784197001252e-15,4,4,36,36,True,True,1,RECOVERABLE_STRONG
2023,9,Scott Dixon,0.461,2,ad6c40ac-4389-5426-b8e5-1d130ac9da81,3a0bcd66-fa08-5944-bf0b-5ec6c5a10f91,1.0,2.0,232.914,233.375,0.46100000000001273,1.2712053631958042e-14,4,4,36,36,True,True,1,RECOVERABLE_STRONG
2023,6,Felix Rosenqvist,0.848,2,9c85ad9a-de5a-5a03-9262-9ef6823db9e8,f684d582-76d7-5411-83d0-39af174901c3,1.0,2.0,233.099,233.947,0.8480000000000132,1.3211653993039363e-14,4,4,36,36,True,True,1,RECOVERABLE_STRONG
2024,21,Rinus VeeKay,1.253,2,135b66b6-87b3-5cb3-ba14-d2d21ed2fa92,d8d8f4a5-fd52-51ca-bdc6-e2ddbea561ca,3.0,4.0,231.166,232.419,1.2530000000000143,1.4432899320127035e-14,0,4,0,68,False,False,1,WEAK_OR_UNRESOLVED
2024,5,Pato O'Ward,0.601,3,592e992b-5103-52a6-b623-e25e826386bc,2c6a50e6-564c-5b01-bb51-6a1d93ae56d7,,,232.434,231.833,-0.6009999999999991,1.201999999999999,4,0,68,0,False,False,1,WEAK_OR_UNRESOLVED
