core_row,year,car_number,driver_name,delta_speed_mph,before_attempt_id,after_attempt_id,frozen_environment_exact_pair_count,frozen_environment__delta_ptsc_wind,frozen_environment__delta_forecast_wind_speed_10m_ms,frozen_environment__delta_forecast_gust_ms,frozen_environment__before_time_utc,frozen_environment__after_time_utc,frozen_environment__before_time_class,frozen_environment__after_time_class,r5_2_repeat_analysis_exact_pair_count,r5_2_repeat_analysis__delta_ptsc_wind,r5_2_repeat_analysis__delta_forecast_wind_speed_10m_ms,r5_2_repeat_analysis__delta_forecast_gust_ms,r5_2_repeat_analysis__delta_wind_speed_ms,r5_2_repeat_analysis__delta_gust_ms,r5_2_repeat_analysis__delta_wind_direction_deg,r5_2_repeat_analysis__delta_wind_u_ms,r5_2_repeat_analysis__delta_wind_v_ms,r5_2_repeat_analysis__previous_wind_speed_ms,r5_2_repeat_analysis__next_wind_speed_ms,r5_2_repeat_analysis__previous_gust_ms,r5_2_repeat_analysis__next_gust_ms,r5_2_repeat_analysis__before_time_utc,r5_2_repeat_analysis__after_time_utc,r5_2_repeat_analysis__before_time_class,r5_2_repeat_analysis__after_time_class,r5_2_repeat_analysis__analysis_source,r5c_same_car_exact_pair_count,r5c_same_car__delta_wind_speed_ms,r5c_same_car__delta_gust_ms,r5c_same_car__delta_wind_direction_deg,r5c_same_car__before_time_utc,r5c_same_car__after_time_utc
0,2020,20,Ed Carpenter,0.4,9a2e168d-3dda-5e76-8daf-588c20d91341,893c5471-df02-55c0-946f-0af9d0a835d9,1,0.838889,-0.438135,-0.326701,2020-08-15T16:27:25Z,2020-08-15T18:47:30Z,APPROXIMATE_POINT,APPROXIMATE_POINT,1,0.838889,-0.438135,-0.326701,-0.4381353575,-0.3267007313,-28.90318383,0.5067943218,0.2002668535,0.90419905,0.4660636925,1.675920733,1.349220001,2020-08-15T16:27:25Z,2020-08-15T18:47:30Z,APPROXIMATE_POINT,APPROXIMATE_POINT,FROZEN_39,1,-0.4381353575,-0.3267007313,-28.90318383,2020-08-15T16:27:25Z,2020-08-15T18:47:30Z
1,2020,3,Helio Castroneves,0.258,f2f5d37e-6270-5e2d-8ae0-2e63cea098b3,7799cc62-18bb-568d-9de2-16cb3622a0de,1,-2.455556,-0.124463,0.890829,2020-08-15T17:34:05Z,2020-08-15T19:39:10Z,APPROXIMATE_POINT,APPROXIMATE_POINT,1,-2.455556,-0.124463,0.890829,-0.124463149,0.890828948,-14.74312921,0.185107808,-0.09102257389,0.7062880825,0.5818249336,1.248461719,2.139290667,2020-08-15T17:34:05Z,2020-08-15T19:39:10Z,APPROXIMATE_POINT,APPROXIMATE_POINT,FROZEN_39,1,-0.124463149,0.890828948,-14.74312921,2020-08-15T17:34:05Z,2020-08-15T19:39:10Z
2,2020,47,Conor Daly,0.071,a7f0ef57-a971-5870-9606-1fe1cd378e2a,df3c02a3-9655-512c-a2e6-4ffe9eadc505,1,-4.65,-0.200936,0.248813,2020-08-15T16:58:15Z,2020-08-15T19:00:50Z,APPROXIMATE_POINT,APPROXIMATE_POINT,1,-4.65,-0.200936,0.248813,-0.2009356648,0.2488129161,-60.38988562,0.5742241274,-0.2106778698,0.6835131842,0.4825775194,1.04220765,1.291020566,2020-08-15T16:58:15Z,2020-08-15T19:00:50Z,APPROXIMATE_POINT,APPROXIMATE_POINT,FROZEN_39,1,-0.2009356648,0.2488129161,-60.38988562,2020-08-15T16:58:15Z,2020-08-15T19:00:50Z
3,2020,5,Pato O'Ward,0.311,194c9baa-3297-571e-82bf-ac3ba81e07fc,757828a3-822d-5bd8-b9f0-681a6918b48b,1,-3.322778,-0.284062,-0.038184,2020-08-15T15:34:55Z,2020-08-15T20:22:30Z,APPROXIMATE_POINT,APPROXIMATE_POINT,1,-3.322778,-0.284062,-0.038184,-0.2840624827,-0.03818408244,11.03430891,-0.07515189972,0.3103398324,0.9136247043,0.6295622216,2.313106343,2.274922261,2020-08-15T15:34:55Z,2020-08-15T20:22:30Z,APPROXIMATE_POINT,APPROXIMATE_POINT,FROZEN_39,1,-0.2840624827,-0.03818408244,11.03430891,2020-08-15T15:34:55Z,2020-08-15T20:22:30Z
4,2020,59,Max Chilton,1.484,75519828-93ba-5485-a4bf-a06b93f7cec3,fb65c8cf-d1c6-583e-9563-6c22e29bb081,1,-3.476667,-0.14038,1.304035,2020-08-15T17:29:05Z,2020-08-15T20:10:00Z,APPROXIMATE_POINT,APPROXIMATE_POINT,1,-3.476667,-0.14038,1.304035,-0.1403801706,1.30403476,-19.80442048,0.2263326224,-0.06683663476,0.6262041584,0.4858239878,0.9802980591,2.284332819,2020-08-15T17:29:05Z,2020-08-15T20:10:00Z,APPROXIMATE_POINT,APPROXIMATE_POINT,FROZEN_39,1,-0.1403801706,1.30403476,-19.80442048,2020-08-15T17:29:05Z,2020-08-15T20:10:00Z
5,2020,60,Jack Harvey,-0.104,954d29f8-6770-5c41-9322-b23c885935ef,e7089fb7-0048-5bb8-8589-cc5bbc59a6cd,1,1.183333,0.005709,-0.428897,2020-08-15T15:20:45Z,2020-08-15T17:55:45Z,APPROXIMATE_POINT,APPROXIMATE_POINT,1,1.183333,0.005709,-0.428897,0.005709346226,-0.4288965841,87.18521708,-0.8404442417,0.3379748815,0.6540063842,0.6597157305,1.768787297,1.339890713,2020-08-15T15:20:45Z,2020-08-15T17:55:45Z,APPROXIMATE_POINT,APPROXIMATE_POINT,FROZEN_39,1,0.005709346226,-0.4288965841,87.18521708,2020-08-15T15:20:45Z,2020-08-15T17:55:45Z
6,2020,8,Marcus Ericsson,0.094,518373d9-25de-58cf-8315-f6c215b6f672,25ddda12-052a-5d71-ac52-6e96cf8edab9,1,1.977778,-0.260426,-0.205507,2020-08-15T16:13:15Z,2020-08-15T18:16:35Z,APPROXIMATE_POINT,APPROXIMATE_POINT,1,1.977778,-0.260426,-0.205507,-0.2604255411,-0.205507403,18.20947002,-0.01133549499,0.3620238664,0.9362099434,0.6757844024,1.796980523,1.59147312,2020-08-15T16:13:15Z,2020-08-15T18:16:35Z,APPROXIMATE_POINT,APPROXIMATE_POINT,FROZEN_39,1,-0.2604255411,-0.205507403,18.20947002,2020-08-15T16:13:15Z,2020-08-15T18:16:35Z
7,2020,81,Ben Hanley,1.971,a3016f3b-449e-576c-bf0f-284c71eddb34,b58b5c13-1a21-50cf-ab5b-8962cc4486f0,1,-0.438889,-0.099065,0.593106,2020-08-15T16:36:35Z,2020-08-15T19:30:50Z,APPROXIMATE_POINT,APPROXIMATE_POINT,1,-0.438889,-0.099065,0.593106,-0.09906526999,0.5931059391,5.96354394,0.02905399801,0.1203669731,0.7652868167,0.6662215467,1.485156488,2.078262427,2020-08-15T16:36:35Z,2020-08-15T19:30:50Z,APPROXIMATE_POINT,APPROXIMATE_POINT,FROZEN_39,1,-0.09906526999,0.5931059391,5.96354394,2020-08-15T16:36:35Z,2020-08-15T19:30:50Z
8,2020,88,Colton Herta,0.215,9ed5a76f-1d6e-5759-8ffc-9c1344b26bfc,0817e595-17c0-5e20-94bc-6778006bf613,1,-2.816667,-0.145152,0.369088,2020-08-15T17:24:05Z,2020-08-15T19:05:50Z,APPROXIMATE_POINT,APPROXIMATE_POINT,1,-2.816667,-0.145152,0.369088,-0.1451521089,0.3690883422,-61.78328485,0.5543026432,-0.2041913719,0.6349212184,0.4897691095,0.9847908306,1.353879173,2020-08-15T17:24:05Z,2020-08-15T19:05:50Z,APPROXIMATE_POINT,APPROXIMATE_POINT,FROZEN_39,1,-0.1451521089,0.3690883422,-61.78328485,2020-08-15T17:24:05Z,2020-08-15T19:05:50Z
9,2020,9,Scott Dixon,-0.041,25f997a4-1a33-565b-b2b0-1c30d3a0f19c,33a57398-b346-53e3-b5e5-369a3ca71efc,1,0.083333,-0.003526,-0.370812,2020-08-15T15:25:45Z,2020-08-15T18:00:45Z,APPROXIMATE_POINT,APPROXIMATE_POINT,1,0.083333,-0.003526,-0.370812,-0.003525537719,-0.3708120048,81.8355528,-0.7847322662,0.3420388138,0.6552458024,0.6517202647,1.739203873,1.368391869,2020-08-15T15:25:45Z,2020-08-15T18:00:45Z,APPROXIMATE_POINT,APPROXIMATE_POINT,FROZEN_39,1,-0.003525537719,-0.3708120048,81.8355528,2020-08-15T15:25:45Z,2020-08-15T18:00:45Z
