core_row,year,car_number,driver_name,delta_speed_mph,residual_loyo_centered,before_attempt_id,after_attempt_id,linkage_source,linkage_status,previous_wind_speed_ms,next_wind_speed_ms,delta_wind_speed_ms,previous_gust_ms,next_gust_ms,delta_gust_ms,previous_wind_direction_deg,next_wind_direction_deg,delta_wind_direction_deg,previous_wind_u_ms,previous_wind_v_ms,next_wind_u_ms,next_wind_v_ms,delta_wind_u_ms,delta_wind_v_ms,delta_ptsc_wind,delta_forecast_wind_speed_10m_ms,delta_forecast_gust_ms,analysis_source,delta_four_lap_average_speed_mph,predicted_physical_delta_mph_loyo,residual_loyo_raw,residual_loyo_centered_core,abs_delta_speed_mph,abs_physics_residual_mph,abs_delta_wind_speed_ms,abs_delta_gust_ms,abs_delta_ptsc_wind,abs_delta_forecast_wind_speed_10m_ms,abs_delta_forecast_gust_ms,wind_vector_change_ms,mean_wind_speed_ms,mean_gust_ms
0,2020,20,Ed Carpenter,0.4,-0.1074453865663387,9a2e168d-3dda-5e76-8daf-588c20d91341,893c5471-df02-55c0-946f-0af9d0a835d9,original_explicit_anchor,linked,0.90419905,0.4660636925,-0.4381353575,1.675920733,1.349220001,-0.3267007313,44.0204673,15.11728348,-28.90318383,-0.628341745,-0.6502019482,-0.1215474233,-0.4499350946,0.5067943218,0.2002668535,0.838889,-0.438135,-0.326701,FROZEN_39,0.4,0.4278728600311938,-0.0278728600311938,-0.1074453865663387,0.4,0.0278728600311938,0.4381353575,0.3267007313,0.838889,0.438135,0.326701,0.544928708382585,0.68513137125,1.512570367
1,2020,3,Helio Castroneves,0.258,-0.0710123398286028,f2f5d37e-6270-5e2d-8ae0-2e63cea098b3,7799cc62-18bb-568d-9de2-16cb3622a0de,original_explicit_anchor,linked,0.7062880825,0.5818249336,-0.124463149,1.248461719,2.139290667,0.890828948,70.31107098,55.56794177,-14.74312921,-0.6649954177,-0.2379578744,-0.4798876097,-0.3289804483,0.185107808,-0.09102257389,-2.455556,-0.124463,0.890829,FROZEN_39,0.258,0.2494398132934579,0.008560186706542,-0.0710123398286028,0.258,0.008560186706542,0.124463149,0.890828948,2.455556,0.124463,0.890829,0.2062765365719654,0.64405650805,1.693876193
2,2020,47,Conor Daly,0.071,-0.3726799398275063,a7f0ef57-a971-5870-9606-1fe1cd378e2a,df3c02a3-9655-512c-a2e6-4ffe9eadc505,original_explicit_anchor,linked,0.6835131842,0.4825775194,-0.2009356648,1.04220765,1.291020566,0.2488129161,66.83809165,6.44820603,-60.38988562,-0.6284199973,-0.2688467593,-0.05419586987,-0.4795246291,0.5742241274,-0.2106778698,-4.65,-0.200936,0.248813,FROZEN_39,0.071,0.3641074132923614,-0.2931074132923614,-0.3726799398275063,0.071,0.2931074132923614,0.2009356648,0.2488129161,4.65,0.200936,0.248813,0.6116522813754209,0.5830453518,1.166614108
3,2020,5,Pato O'Ward,0.311,-0.3474105928198861,194c9baa-3297-571e-82bf-ac3ba81e07fc,757828a3-822d-5bd8-b9f0-681a6918b48b,original_explicit_anchor,linked,0.9136247043,0.6295622216,-0.2840624827,2.313106343,2.274922261,-0.03818408244,8.55784601,19.59215492,11.03430891,-0.1359545273,-0.9034525261,-0.2111064271,-0.5931126936,-0.07515189972,0.3103398324,-3.322778,-0.284062,-0.038184,FROZEN_39,0.311,0.5788380662847412,-0.2678380662847412,-0.3474105928198861,0.311,0.2678380662847412,0.2840624827,0.03818408244,3.322778,0.284062,0.038184,0.3193095983611909,0.77159346295,2.294014302
4,2020,59,Max Chilton,1.484,1.1702080190504822,75519828-93ba-5485-a4bf-a06b93f7cec3,fb65c8cf-d1c6-583e-9563-6c22e29bb081,original_explicit_anchor,linked,0.6262041584,0.4858239878,-0.1403801706,0.9802980591,2.284332819,1.30403476,62.22665387,42.42223339,-19.80442048,-0.5540640877,-0.2917955358,-0.3277314653,-0.3586321705,0.2263326224,-0.06683663476,-3.476667,-0.14038,1.304035,FROZEN_39,1.484,0.2342194544143728,1.2497805455856272,1.1702080190504822,1.484,1.2497805455856272,0.1403801706,1.30403476,3.476667,0.14038,1.304035,0.23599489763234843,0.5560140731000001,1.6323154390499999
5,2020,60,Jack Harvey,-0.104,-0.4768859238856346,954d29f8-6770-5c41-9322-b23c885935ef,e7089fb7-0048-5bb8-8589-cc5bbc59a6cd,original_explicit_anchor,linked,0.6540063842,0.6597157305,0.005709346226,1.768787297,1.339890713,-0.4288965841,338.5758888,65.76110585,87.18521708,0.2388879697,-0.6088159726,-0.601556272,-0.2708410911,-0.8404442417,0.3379748815,1.183333,0.005709,-0.428897,FROZEN_39,-0.104,0.2933133973504897,-0.3973133973504897,-0.4768859238856346,0.104,0.3973133973504897,0.005709346226,0.4288965841,1.183333,0.005709,0.428897,0.9058551451151707,0.65686105735,1.554339005
6,2020,8,Marcus Ericsson,0.094,-0.2598912928073732,518373d9-25de-58cf-8315-f6c215b6f672,25ddda12-052a-5d71-ac52-6e96cf8edab9,original_explicit_anchor,linked,0.9362099434,0.6757844024,-0.2604255411,1.796980523,1.59147312,-0.205507403,33.87108683,52.08055685,18.20947002,-0.5217743198,-0.7773291564,-0.5331098148,-0.4153052899,-0.01133549499,0.3620238664,1.977778,-0.260426,-0.205507,FROZEN_39,0.094,0.2743187662722283,-0.1803187662722283,-0.2598912928073732,0.094,0.1803187662722283,0.2604255411,0.205507403,1.977778,0.260426,0.205507,0.36220128836031684,0.8059971729,1.6942268215
7,2020,81,Ben Hanley,1.971,1.57945494014952,a3016f3b-449e-576c-bf0f-284c71eddb34,b58b5c13-1a21-50cf-ab5b-8962cc4486f0,original_explicit_anchor,linked,0.7652868167,0.6662215467,-0.09906526999,1.485156488,2.078262427,0.5931059391,47.55705607,53.52060001,5.96354394,-0.5647432035,-0.5164581551,-0.5356892054,-0.396091182,0.02905399801,0.1203669731,-0.438889,-0.099065,0.593106,FROZEN_39,1.971,0.3119725333153352,1.659027466684665,1.57945494014952,1.971,1.659027466684665,0.09906526999,0.5931059391,0.438889,0.099065,0.593106,0.12382383863223272,0.7157541816999999,1.7817094574999999
8,2020,88,Colton Herta,0.215,-0.1927643794706103,9ed5a76f-1d6e-5759-8ffc-9c1344b26bfc,0817e595-17c0-5e20-94bc-6778006bf613,original_explicit_anchor,linked,0.6349212184,0.4897691095,-0.1451521089,0.9847908306,1.353879173,0.3690883422,63.28718433,1.503899483,-61.78328485,-0.5671566255,-0.2854090323,-0.01285398231,-0.4896004041,0.5543026432,-0.2041913719,-2.816667,-0.145152,0.369088,FROZEN_39,0.215,0.3281918529354654,-0.1131918529354653,-0.1927643794706103,0.215,0.1131918529354653,0.1451521089,0.3690883422,2.816667,0.145152,0.369088,0.5907161218528834,0.56234516395,1.1693350018
9,2020,9,Scott Dixon,-0.041,-0.5253020699355216,25f997a4-1a33-565b-b2b0-1c30d3a0f19c,33a57398-b346-53e3-b5e5-369a3ca71efc,original_explicit_anchor,linked,0.6552458024,0.6517202647,-0.003525537719,1.739203873,1.368391869,-0.3708120048,342.4547056,64.2902584,81.8355528,0.1975301725,-0.6247630691,-0.5872020937,-0.2827242553,-0.7847322662,0.3420388138,0.083333,-0.003526,-0.370812,FROZEN_39,-0.041,0.4047295434003767,-0.4457295434003767,-0.5253020699355216,0.041,0.4457295434003767,0.003525537719,0.3708120048,0.083333,0.003526,0.370812,0.8560346253283794,0.6534830335499999,1.553797871
