horizon_min,variant,mean_pi80_width_mph,mean_pi90_width_mph,pi80_width_reduction_vs_full,pi90_width_reduction_vs_full
15,COEFFICIENT_ONLY,0.07161771833859952,0.0923529700667374,0.9511715368399916,0.9618729425239851
15,FULL,1.4667207137753209,2.4222422652163806,0.0,0.0
15,NO_COEFFICIENT,1.461980219359824,2.418785541216579,0.0032320361817861354,0.0014270760812989947
15,NO_RESIDUAL,0.1404547228830178,0.20882432837742232,0.9042389450398576,0.9137888346776214
15,NO_TRACK,1.464045302054081,2.4045989845698275,0.0018240771375986897,0.0072838629314302406
15,RESIDUAL_ONLY,1.4534099535356302,2.376565531473665,0.009075183921981256,0.0188572111050318
15,TRACK_ONLY,0.11648564020339856,0.14885750421876787,0.9205808992063895,0.9385455755783081
30,COEFFICIENT_ONLY,0.1009791161170439,0.1305363963556333,0.9317145760546538,0.9464863568618624
30,FULL,1.4787799545312166,2.4393105888655886,0.0,0.0
30,NO_COEFFICIENT,1.4572874636802011,2.4309557653363654,0.014533934399880821,0.003425075743679118
30,NO_RESIDUAL,0.21379372126671667,0.3123792838321049,0.8554256022935537,0.8719395204292627
30,NO_TRACK,1.4677937489023738,2.4194784791220254,0.007429236239765991,0.008130210984238051
30,RESIDUAL_ONLY,1.4502207405273573,2.394344312520088,0.01931268672959041,0.018434010228444264
30,TRACK_ONLY,0.1676948319413579,0.21766966338002436,0.8865991985977939,0.9107659088704844
60,COEFFICIENT_ONLY,0.15612101527345854,0.20173653264877237,0.8970247478931237,0.91803935849869
60,FULL,1.5161022874838237,2.461383036460836,0.0,0.0
60,NO_COEFFICIENT,1.470370544190805,2.439647447677504,0.030164022355587017,0.008830640522567768
60,NO_RESIDUAL,0.3051805981581535,0.44982199101245496,0.798707118459242,0.8172482769446388
60,NO_TRACK,1.474564159265921,2.429834686400693,0.027397972129466708,0.012817326516357919
60,RESIDUAL_ONLY,1.4568633438734087,2.3822788466725737,0.03907318397938053,0.03213810634772396
60,TRACK_ONLY,0.2410437987815465,0.3258147316540205,0.8410108600379522,0.867629407196004
90,COEFFICIENT_ONLY,0.20032394931820569,0.2588955771211566,0.870326701038252,0.8955876927596892
90,FULL,1.5448357597295252,2.479550389833776,0.0,0.0
90,NO_COEFFICIENT,1.47442778753258,2.4418313443189392,0.045576348005610945,0.015212050406188893
90,NO_RESIDUAL,0.37264525299805573,0.5361659140168574,0.7587800187488541,0.7837648647048464
90,NO_TRACK,1.477134653994606,2.4341068580872145,0.04382414461118678,0.018327327378738212
90,RESIDUAL_ONLY,1.452097469720688,2.379707961886777,0.06003116475312176,0.04026634359049752
90,TRACK_ONLY,0.2881546377692966,0.36509905588707314,0.8134723151283424,0.8527559442292485
120,COEFFICIENT_ONLY,0.2282276890932587,0.2962394354636692,0.8544223645519862,0.8811953670726204
120,FULL,1.5677386735324428,2.493500700808092,0.0,0.0
120,NO_COEFFICIENT,1.4810067118493249,2.448636020156102,0.0553229713263963,0.017992648102104103
120,NO_RESIDUAL,0.42655095742566534,0.6067311049234474,0.7279196050802543,0.7566749811913756
120,NO_TRACK,1.4774219678979557,2.4378403527590025,0.057609541155851374,0.022322170605787783
120,RESIDUAL_ONLY,1.4471751807658895,2.3688113404517983,0.07690279942823541,0.05000574506190614
120,TRACK_ONLY,0.3148687774966526,0.43924358744704983,0.799157357783879,0.8238446103886395
