source_id,year,source_title,source_url,source_class,authority_or_underlying_source,local_asset,content_hash_sha256,review_status,evidence_found,limitations
SRC2020-IMS-DAY1,2020,"VeeKay, Palou Make Strong First Impressions To Reach Fast Nine Shootout",https://www.indianapolismotorspeedway.com/news-multimedia/news/2020/08/15/veekay-palou-make-strong-first-impressions-to-reach-fast-nine-shootout,IMS_OFFICIAL_EDITORIAL,IMS,,,REVIEWED,Qualitative weather context,No numeric environmental values
SRC2021-INDYCAR-GREEN,2021,Green Flag: Crown Royal Armed Forces Qualifying Day 1,https://www.indycar.com/News/2021/05/05-22-GreenFlag,INDYCAR_OFFICIAL_EDITORIAL,INDYCAR,,,REVIEWED_CONTEXT_ONLY,Forecast and sun/cloud/wind mechanism context,Not a historical measured series
SRC2021-INDYCAR-BUZZ,2021,"Paddock Buzz: Nervous Sunday Ahead for Power, Four Others",https://www.indycar.com/news/2021/05/05-22-paddockbuzz,INDYCAR_OFFICIAL_EDITORIAL,INDYCAR,,,REVIEWED,Warmer-afternoon qualitative observation,No numerical measurement
SRC2022-INDYCAR-BUZZ,2022,Paddock Buzz: Sato Sneaks into Fast 12 after Eventful Day,https://www.indycar.com/news/2022/05/05-21-buzz,INDYCAR_OFFICIAL_EDITORIAL,INDYCAR,weather/evidence/raw_pages/2022_www.indycar.com_news_2022_05_05-21-buzz.txt,5eb6cc3a2486e4deeff06a1586082979b608f3d7f96fab2fc8921760ffe15bba,REVIEWED,Two numeric track/asphalt anchors and qualitative wind,No structured feed
SRC2023-INDYCAR-DAY1,2023,"Rosenqvist Paces Epic, Historic First Qualifying Day at Indy",https://www.indycar.com/News/2023/05/05-20-FirstDayQuals,INDYCAR_OFFICIAL_EDITORIAL,INDYCAR,,,REVIEWED,Session-wide sunny/mid-70s description,No numeric track-temperature anchor
SRC2023-INDYCAR-SETUP,2023,The Setup: Indianapolis 500 with Brad Goldberg,https://www.indycar.com/News/2023/05/05-19-Setup-Indy,INDYCAR_OFFICIAL_TECHNICAL,INDYCAR,,,REVIEWED_CONTEXT_ONLY,"Heat, grip, dust, marbles, and rubber context",Not a Day 1 measurement
SRC2024-INDYCAR-DAY1,2024,Power Fastest as Penske Eyes Pole after Top Three Sweep,https://www.indycar.com/News/2024/05/05-18-Quals-Day1,INDYCAR_OFFICIAL_EDITORIAL,INDYCAR,,,REVIEWED,Air-temperature range and sunny/coolest-period context,No numeric track-temperature anchor
SRC2024-THEAPEX,2024,Race Report: 2024 Indianapolis 500,https://www.theapex.racing/2024/05/2024-indianapolis-500/,REPUTABLE_SECONDARY_SESSION_REPORT,Firestone measurement attribution,,,REVIEWED,11:00 track/ambient/humidity/sky anchor,Secondary publication; sensor details absent
SRC-PTSC-WORKBOOK,,PTSC-hosted FirestoneTemperatures workbook,https://ptscin.com/wp-content/uploads/2025/06/FirestoneTemperatures.xlsx,PTSC_HOSTED_FIRESTONE_NAMED_WORKBOOK,PTSC-hosted; Firestone-named; authorship/measurement operator not independently authenticated,weather/evidence/ptsc/FirestoneTemperatures_current.xlsx,349d33ebd814c1e62db6df946c64c04eeb3fb9f90a8653de42a05628553f0654,REVIEWED,"Structured track, ambient, humidity, wind, barometer, and four sensor readings",Not INDYCAR official; wind/humidity/barometer units are not explicit in headers; one 2022 barometer value is invalid
SRC-HRRR-CANONICAL-REFERENCE,,Existing canonical HRRR forecast layer,,HRRR_FORECAST_REFERENCE_EXISTING_CANONICAL,NOAA/NCEP HRRR,data/canonical/v1/weather_forecasts.csv,c1eb0760bab77321b819168303247922597408242809c30fb18a44a8f4dc44a4,REFERENCED_NOT_MODIFIED,Forecast covariates,Forecast data; not observed track temperature and not merged with PTSC
SRC2020-TIMING71-1,2020,Timing71 replay capture,,THIRD_PARTY_REPLAY_CAPTURE,INDYCAR live timing display,evidence/timing71_2020_part1.zip,4740c8a6311f3ced849262645f681be6728380a80176b5db017d63e9c3db0ef3,REVIEWED,Tire category marker only,No weather or tire thermal telemetry fields; capture limitations remain
SRC2020-TIMING71-2,2020,Timing71 replay capture,,THIRD_PARTY_REPLAY_CAPTURE,INDYCAR live timing display,evidence/timing71_2020_part2.zip,ba4784ee475853d4fd2074c898524f0d73d2aee6c66e8cdcae6c9a98990c26d6,REVIEWED,Tire category marker only,No weather or tire thermal telemetry fields; capture limitations remain
SRC2021-TIMING71-1,2021,Timing71 replay capture,,THIRD_PARTY_REPLAY_CAPTURE,INDYCAR live timing display,evidence/timing71_2021_sample.zip,440b9caaf70bc9aff7a9d24fb7ab1c5109c6babc467ebc59cd1d9a3ca25f6dc0,REVIEWED,Tire category marker only,No weather or tire thermal telemetry fields; capture limitations remain
SRC2023-TIMING71-1,2023,Timing71 replay capture,,THIRD_PARTY_REPLAY_CAPTURE,INDYCAR live timing display,evidence/timing71_2023.zip,b470de1e61a3fc1df51e4039f47639dc2f18c8536e1dbc17dbf67266aa5770a4,REVIEWED,Tire category marker only,No weather or tire thermal telemetry fields; capture limitations remain
SRC2024-TIMING71-1,2024,Timing71 replay capture,,THIRD_PARTY_REPLAY_CAPTURE,INDYCAR live timing display,evidence/timing71_2024.zip,99ca146b0c816ce7c42b5bc46532b20c8528cedf9c8532d25ebbc937f744a85b,REVIEWED,Tire category marker only,No weather or tire thermal telemetry fields; capture limitations remain
SRC2020-RESULTS,2020,2020 INDYCAR Day 1 Qualification Results,,OFFICIAL_TIMING_REPORT,INDYCAR,evidence/results_2020_0.pdf,0e79809e2c57d544d2b9a00138934c8e3cf68493a0612e58e677806b4d3a6ead,REVIEWED,Lap/attempt results and Firestone manufacturer code,No environmental or tire telemetry values
SRC2021-RESULTS,2021,2021 INDYCAR Day 1 Qualification Results,,OFFICIAL_TIMING_REPORT,INDYCAR,weather/evidence/downloads/2021/2021-indycar-results-quals-day1.pdf,7c773e62d54478f04810531107fd3dec51cf840247b5828e1a12332276d9874a,REVIEWED,Lap/attempt results and Firestone manufacturer code,No environmental or tire telemetry values
SRC2022-RESULTS,2022,2022 INDYCAR Day 1 Qualification Results,,OFFICIAL_TIMING_REPORT,INDYCAR,evidence/results_2022_0.pdf,95ba427d6920f5c57728cb1809117e291acf339f99f441f76171cb3f9f1693af,REVIEWED,Lap/attempt results and Firestone manufacturer code,No environmental or tire telemetry values
SRC2023-RESULTS,2023,2023 INDYCAR Day 1 Qualification Results,,OFFICIAL_TIMING_REPORT,INDYCAR,evidence/results_2023_1.pdf,88a5ed6041f697489d608094cfbb91177b45403ef4e92b67429ead65a1fdf344,REVIEWED,Lap/attempt results and Firestone manufacturer code,No environmental or tire telemetry values
SRC2024-RESULTS,2024,2024 INDYCAR Day 1 Qualification Results,,OFFICIAL_TIMING_REPORT,INDYCAR,weather/evidence/downloads/2024/indycar-results-quals-day1-05-18-2024.pdf,088f2c2ad775b0e84d029f5e0a48a0a35a6de907c179c0ce5eca6c635810a700,REVIEWED,Lap/attempt results and Firestone manufacturer code,No environmental or tire telemetry values
SRC-LOCAL-RECON-01,,Previously retained reconnaissance work product,,LOCAL_RECONNAISSANCE_WORK_PRODUCT,LOCAL,weather/evidence/indy500_discovered_sources.csv,640bcd458ee4b607616c3422c494fe1c25bdc56233a5654046a7f13624762a8d,PRESERVED_AND_REVIEWED,"Discovery, download, or candidate-triage record",Not independent evidence
SRC-LOCAL-RECON-02,,Previously retained reconnaissance work product,,LOCAL_RECONNAISSANCE_WORK_PRODUCT,LOCAL,weather/evidence/download_manifest.csv,bf5d89c28e418006074754cc5cb65458e1a371a10723ef433f9d69fc240060f0,PRESERVED_AND_REVIEWED,"Discovery, download, or candidate-triage record",Not independent evidence
SRC-LOCAL-RECON-03,,Previously retained reconnaissance work product,,LOCAL_RECONNAISSANCE_WORK_PRODUCT,LOCAL,weather/evidence/priority_download_manifest.csv,ca6f25420b6bd02e0a8446e73b399f023f8a963fd74e20a6008a338eccfbbc3f,PRESERVED_AND_REVIEWED,"Discovery, download, or candidate-triage record",Not independent evidence
SRC-LOCAL-RECON-04,,Previously retained reconnaissance work product,,LOCAL_RECONNAISSANCE_WORK_PRODUCT,LOCAL,weather/evidence/track_condition_evidence_candidates.csv,f8ba133b0d85b311a75001f1a10d6f03e07dc25f86239f676ba19fe44c9a3b35,PRESERVED_AND_REVIEWED,"Discovery, download, or candidate-triage record",Not independent evidence
SRC-LOCAL-RECON-05,,Previously retained reconnaissance work product,,LOCAL_RECONNAISSANCE_WORK_PRODUCT,LOCAL,weather/evidence/track_condition_evidence_candidates_v2.csv,d5041efe5ce2fa83b4aaa721d4bfcf9c0e41408f2259591b6f70733ad0449f3d,PRESERVED_AND_REVIEWED,"Discovery, download, or candidate-triage record",Not independent evidence
SRC-LOCAL-RECON-06,,Previously retained reconnaissance work product,,LOCAL_RECONNAISSANCE_WORK_PRODUCT,LOCAL,weather/scripts/collect_track_condition_evidence.py,98e1ce29e823de78e574e20d3faf422481be355d51ef2c4b738b9bfca8f89b00,PRESERVED_AND_REVIEWED,"Discovery, download, or candidate-triage record",Not independent evidence
SRC-LOCAL-RECON-07,,Previously retained reconnaissance work product,,LOCAL_RECONNAISSANCE_WORK_PRODUCT,LOCAL,weather/scripts/crawl_track_condition_sources.py,4ca9541b20946fe1478d53db77f5f3b29e05a86d33f4118dce3c4e13197a085f,PRESERVED_AND_REVIEWED,"Discovery, download, or candidate-triage record",Not independent evidence
SRC-LOCAL-RECON-08,,Previously retained reconnaissance work product,,LOCAL_RECONNAISSANCE_WORK_PRODUCT,LOCAL,weather/scripts/discover_indy500_sources.py,24d3352fff397a77be4e3c735b294147489bb8ea901bafe0a24e9b7abb6d6363,PRESERVED_AND_REVIEWED,"Discovery, download, or candidate-triage record",Not independent evidence
SRC-LOCAL-RECON-09,,Previously retained reconnaissance work product,,LOCAL_RECONNAISSANCE_WORK_PRODUCT,LOCAL,weather/scripts/download_discovered_sources.py,9727e83da57fd7e1f117fa80f338bac6ce6fc18701f944c82e5f7a02fad89cfe,PRESERVED_AND_REVIEWED,"Discovery, download, or candidate-triage record",Not independent evidence
SRC-PTSC-DERIVED-01,,PTSC extraction/provenance/QA asset,https://ptscin.com/wp-content/uploads/2025/06/FirestoneTemperatures.xlsx,LOCAL_DERIVATIVE_OR_EXTRACTION_SCRIPT,Derived from the PTSC-hosted workbook,weather/evidence/ptsc/indy500_day1_track_temp_2020_2024.csv,d59591a8040178cbf0523d1cc7830c15af5b26abc92c78577bc0f730965cfd10,PRESERVED_AND_REVIEWED,"Extraction, timestamp normalization, excluded block, or QA",Not an independent source
SRC-PTSC-DERIVED-02,,PTSC extraction/provenance/QA asset,https://ptscin.com/wp-content/uploads/2025/06/FirestoneTemperatures.xlsx,LOCAL_DERIVATIVE_OR_EXTRACTION_SCRIPT,Derived from the PTSC-hosted workbook,weather/evidence/ptsc/indy500_day1_track_temp_2020_2024_time_normalized.csv,80d68965a0b39c92635c6cf7131c089396a262e7e97438d4bbfdd4590215a31e,PRESERVED_AND_REVIEWED,"Extraction, timestamp normalization, excluded block, or QA",Not an independent source
